Tipo de credito,Tasa de interes,Saldo del credito
Tarjetas de Credito,0,0
Tarjetas de Credito,00 - 02,3.77
Tarjetas de Credito,02 - 04,2.66
Tarjetas de Credito,04 - 06,2.81
Tarjetas de Credito,06 - 08,2.82
Tarjetas de Credito,08 - 10,3.1
Tarjetas de Credito,10 - 12,2.88
Tarjetas de Credito,12 - 14,3.03
Tarjetas de Credito,14 - 16,4.11
Tarjetas de Credito,16 - 18,3.46
Tarjetas de Credito,18 - 20,3.27
Tarjetas de Credito,20 - 22,3.11
Tarjetas de Credito,22 - 24,3.05
Tarjetas de Credito,24 - 26,3.61
Tarjetas de Credito,26 - 28,3.22
Tarjetas de Credito,28 - 30,3.31
Tarjetas de Credito,30 - 32,2.8
Tarjetas de Credito,32 - 34,3.22
Tarjetas de Credito,34 - 36,2.78
Tarjetas de Credito,36 - 38,3.15
Tarjetas de Credito,38 - 40,2.24
Tarjetas de Credito,40 - 42,2.1
Tarjetas de Credito,42 - 44,2.12
Tarjetas de Credito,44 - 46,2.16
Tarjetas de Credito,46 - 48,2.13
Tarjetas de Credito,48 - 50,2.34
Tarjetas de Credito,50 - 52,2.48
Tarjetas de Credito,52 - 54,2.19
Tarjetas de Credito,54 - 56,2.56
Tarjetas de Credito,56 - 58,1.75
Tarjetas de Credito,58 - 60,9.58
Tarjetas de Credito,60 - 62,1.09
Tarjetas de Credito,62 - 64,1.15
Tarjetas de Credito,64 - 66,3.52
Tarjetas de Credito,66 - 68,0.8
Tarjetas de Credito,68 - 70,0.31
Tarjetas de Credito,70 - 72,0.43
Tarjetas de Credito,72 - 74,0.13
Tarjetas de Credito,74 - 76,0.39
Tarjetas de Credito,76 - 78,0.07
Tarjetas de Credito,78 - 80,0.03
Tarjetas de Credito,80 - 82,0.02
Tarjetas de Credito,82 - 84,0.01
Tarjetas de Credito,84 - 86,0
Tarjetas de Credito,86 - 88,0
Tarjetas de Credito,88 - 90,0.01
Tarjetas de Credito,90 - 92,0.01
Tarjetas de Credito,92 - 94,0
Tarjetas de Credito,94 - 96,0
Tarjetas de Credito,96 - 98,0
Tarjetas de Credito,98 - 100,0
Tarjetas de Credito,> 100,0
